"Temp","Value"
298,9.584e-06
300,1.062e-05
400,0.0006442
500,0.007261
600,0.03516
700,0.1054
800,0.2361
900,0.4335
1000,0.6934
1100,1.0069
1200,1.3646
1300,1.7498
1400,2.1538
1500,2.5645
1600,2.9785
1700,3.3884
1800,3.7757
1900,4.1591
2000,4.529
2100,4.8753
2200,5.2
2300,5.5208
2400,5.8076
2500,6.0814
2600,6.3387
2700,6.5766
2800,6.8077
2900,7.0146
3000,7.2111
3100,7.3961
3200,7.5509
3300,7.7268
3400,7.8524
3500,7.9899
3600,8.1196
3700,8.2224
3800,8.3368
3900,8.4333
4000,8.5114
4100,8.6099
4200,8.6497
4300,8.7297
4400,8.7902
4500,8.8308
4600,8.9125
4700,8.9536
4800,8.9743
4900,8.995
5000,9.0365
5100,9.0573
5200,9.0782
5300,9.0872
5400,9.0991
5500,9.1201
5600,9.1201
5700,9.1201
5800,9.1201
5900,9.1201
6000,9.1411
